date,energy_kWh
2023-01-01,2.777710
2023-01-02,2.825560
2023-01-03,2.811460
2023-01-04,2.873000
2023-01-05,2.970090
2023-01-06,2.827240
2023-01-07,2.599690
2023-01-08,2.870880
2023-01-09,2.399490
2023-01-10,1.100770
2023-01-11,2.008430
2023-01-12,1.097540
2023-01-13,1.535410
2023-01-14,3.028810
2023-01-15,1.772610
2023-01-16,1.965750
2023-01-17,1.420310
2023-01-18,1.609090
2023-01-19,1.012730
2023-01-20,1.198970
2023-01-21,1.808400
2023-01-22,2.211740
2023-01-23,1.643310
2023-01-24,1.722160
2023-01-25,1.723060
2023-01-26,1.866310
2023-01-27,2.356430
2023-01-28,1.893120
2023-01-29,1.602920
2023-01-30,1.108270
2023-01-31,1.859450
2023-02-01,2.130610
2023-02-02,3.332320
2023-02-03,3.180930
2023-02-04,2.246970
2023-02-05,3.370400
2023-02-06,3.044500
2023-02-07,2.434670
2023-02-08,1.383460
2023-02-09,1.508770
2023-02-10,2.615590
2023-02-11,1.731380
2023-02-12,3.315230
2023-02-13,2.215940
2023-02-14,2.798620
2023-02-15,1.465030
2023-02-16,3.056040
2023-02-17,3.127450
2023-02-18,3.031540
2023-02-19,2.917130
2023-02-20,3.355760
2023-02-21,2.637790
2023-02-22,1.571520
2023-02-23,2.026350
2023-02-24,2.998010
2023-02-25,1.590780
2023-02-26,2.861380
2023-02-27,3.583910
2023-02-28,3.295380
2023-03-01,2.740870
2023-03-02,3.255080
2023-03-03,2.425830
2023-03-04,3.536250
2023-03-05,3.440910
2023-03-06,3.230720
2023-03-07,3.592780
2023-03-08,3.492650
2023-03-09,3.237510
2023-03-10,3.524140
2023-03-11,3.553860
2023-03-12,3.347480
2023-03-13,2.874930
2023-03-14,3.796960
2023-03-15,3.589510
2023-03-16,3.684550
2023-03-17,1.158510
2023-03-18,1.566090
2023-03-19,2.415180
2023-03-20,2.738420
2023-03-21,2.843590
2023-03-22,2.835850
2023-03-23,3.671410
2023-03-24,3.702260
2023-03-25,3.676400
2023-03-26,3.622750
2023-03-27,3.767770
2023-03-28,3.805520
2023-03-29,3.752050
2023-03-30,3.553520
2023-03-31,3.578080
2023-04-01,3.776930
2023-04-02,3.719470
2023-04-03,3.554710
2023-04-04,2.775380
2023-04-05,3.377790
2023-04-06,3.932010
2023-04-07,3.321950
2023-04-08,2.073490
2023-04-09,2.759010
2023-04-10,3.577680
2023-04-11,3.050580
2023-04-12,3.636010
2023-04-13,2.842470
2023-04-14,1.470190
2023-04-15,3.739290
2023-04-16,2.993190
2023-04-17,1.933350
2023-04-18,2.921020
2023-04-19,3.450070
2023-04-20,2.958870
2023-04-21,3.579360
2023-04-22,3.072770
2023-04-23,3.539000
2023-04-24,3.828150
2023-04-25,3.562480
2023-04-26,3.674850
2023-04-27,3.637370
2023-04-28,3.655110
2023-04-29,3.709080
2023-04-30,3.688540
2023-05-01,3.747760
2023-05-02,3.516450
2023-05-03,3.134840
2023-05-04,3.368210
2023-05-05,3.040950
2023-05-06,2.761340
2023-05-07,3.224250
2023-05-08,3.060540
2023-05-09,3.085350
2023-05-10,2.588210
2023-05-11,3.085850
2023-05-12,3.156920
2023-05-13,2.229350
2023-05-14,3.426730
2023-05-15,3.175860
2023-05-16,2.377520
2023-05-17,3.037150
2023-05-18,3.172240
2023-05-19,3.440990
2023-05-20,2.689760
2023-05-21,3.150790
2023-05-22,3.157450
2023-05-23,2.728300
2023-05-24,3.083060
2023-05-25,2.140270
2023-05-26,2.729970
2023-05-27,2.273110
2023-05-28,3.391530
2023-05-29,2.952430
2023-05-30,3.412760
2023-05-31,3.439210
2023-06-01,0.927990
2023-06-02,3.296510
2023-06-03,3.503090
2023-06-04,3.138260
2023-06-05,1.929690
2023-06-06,0.818720
2023-06-07,2.298940
2023-06-08,1.384100
2023-06-09,1.173770
2023-06-10,1.639570
2023-06-11,3.496620
2023-06-12,2.876160
2023-06-13,3.162690
2023-06-14,3.188830
2023-06-15,3.474130
2023-06-16,3.540270
2023-06-17,3.366710
2023-06-18,2.852130
2023-06-19,2.391300
2023-06-20,1.588240
2023-06-21,1.199160
2023-06-22,2.438400
2023-06-23,3.138950
2023-06-24,3.259150
2023-06-25,2.678410
2023-06-26,3.113270
2023-06-27,3.331110
2023-06-28,3.388660
2023-06-29,3.407380
2023-06-30,2.514930
2023-07-01,2.187430
2023-07-02,3.039520
2023-07-03,2.935450
2023-07-04,2.952970
2023-07-05,3.055990
2023-07-06,2.892440
2023-07-07,2.997330
2023-07-08,3.028970
2023-07-09,3.157240
2023-07-10,3.528240
2023-07-11,3.428610
2023-07-12,3.361720
2023-07-13,3.406280
2023-07-14,3.068660
2023-07-15,2.033540
2023-07-16,2.798520
2023-07-17,2.887370
2023-07-18,2.942100
2023-07-19,2.415570
2023-07-20,1.976740
2023-07-21,2.506750
2023-07-22,2.497530
2023-07-23,3.267430
2023-07-24,3.015900
2023-07-25,3.012620
2023-07-26,2.500130
2023-07-27,3.084640
2023-07-28,2.143430
