timestamp,P_W
20230101:0009,0.000
20230101:0109,0.000
20230101:0209,0.000
20230101:0309,0.000
20230101:0409,0.000
20230101:0509,0.000
20230101:0609,0.000
20230101:0709,0.000
20230101:0809,1.160
20230101:0909,163.740
20230101:1009,288.650
20230101:1109,370.510
20230101:1209,421.330
20230101:1309,426.040
20230101:1409,424.840
20230101:1509,337.230
20230101:1609,217.780
20230101:1709,126.430
20230101:1809,0.000
20230101:1909,0.000
20230101:2009,0.000
20230101:2109,0.000
20230101:2209,0.000
20230101:2309,0.000
20230102:0009,0.000
20230102:0109,0.000
20230102:0209,0.000
20230102:0309,0.000
20230102:0409,0.000
20230102:0509,0.000
20230102:0609,0.000
20230102:0709,0.000
20230102:0809,0.890
20230102:0909,164.650
20230102:1009,286.190
20230102:1109,370.930
20230102:1209,420.930
20230102:1309,429.930
20230102:1409,414.600
20230102:1509,355.120
20230102:1609,244.870
20230102:1709,137.450
20230102:1809,0.000
20230102:1909,0.000
20230102:2009,0.000
20230102:2109,0.000
20230102:2209,0.000
20230102:2309,0.000
20230103:0009,0.000
20230103:0109,0.000
20230103:0209,0.000
20230103:0309,0.000
20230103:0409,0.000
20230103:0509,0.000
20230103:0609,0.000
20230103:0709,0.000
20230103:0809,1.150
20230103:0909,163.750
20230103:1009,291.700
20230103:1109,373.920
20230103:1209,422.470
20230103:1309,421.160
20230103:1409,417.100
20230103:1509,367.400
20230103:1609,212.050
20230103:1709,140.760
20230103:1809,0.000
20230103:1909,0.000
20230103:2009,0.000
20230103:2109,0.000
20230103:2209,0.000
20230103:2309,0.000
20230104:0009,0.000
20230104:0109,0.000
20230104:0209,0.000
20230104:0309,0.000
20230104:0409,0.000
20230104:0509,0.000
20230104:0609,0.000
20230104:0709,0.000
20230104:0809,0.880
20230104:0909,168.370
20230104:1009,245.530
20230104:1109,363.140
20230104:1209,431.080
20230104:1309,442.490
20230104:1409,421.970
20230104:1509,369.760
20230104:1609,281.020
20230104:1709,148.760
20230104:1809,0.000
20230104:1909,0.000
20230104:2009,0.000
20230104:2109,0.000
20230104:2209,0.000
20230104:2309,0.000
20230105:0009,0.000
20230105:0109,0.000
20230105:0209,0.000
20230105:0309,0.000
20230105:0409,0.000
20230105:0509,0.000
20230105:0609,0.000
20230105:0709,0.000
20230105:0809,0.880
20230105:0909,169.850
20230105:1009,290.650
20230105:1109,385.470
20230105:1209,432.780
20230105:1309,441.160
20230105:1409,432.850
20230105:1509,375.080
20230105:1609,281.990
20230105:1709,159.380
20230105:1809,0.000
20230105:1909,0.000
20230105:2009,0.000
20230105:2109,0.000
20230105:2209,0.000
20230105:2309,0.000
20230106:0009,0.000
20230106:0109,0.000
20230106:0209,0.000
20230106:0309,0.000
20230106:0409,0.000
20230106:0509,0.000
20230106:0609,0.000
20230106:0709,0.000
20230106:0809,0.890
20230106:0909,146.840
20230106:1009,224.400
20230106:1109,325.610
20230106:1209,431.290
20230106:1309,446.890
20230106:1409,427.570
20230106:1509,376.890
20230106:1609,286.280
20230106:1709,160.580
20230106:1809,0.000
20230106:1909,0.000
20230106:2009,0.000
20230106:2109,0.000
20230106:2209,0.000
20230106:2309,0.000
20230107:0009,0.000
20230107:0109,0.000
20230107:0209,0.000
20230107:0309,0.000
20230107:0409,0.000
20230107:0509,0.000
20230107:0609,0.000
20230107:0709,0.000
20230107:0809,0.890
20230107:0909,106.040
20230107:1009,281.220
20230107:1109,312.400
20230107:1209,331.180
20230107:1309,384.370
20230107:1409,383.920
20230107:1509,371.030
20230107:1609,272.110
20230107:1709,156.530
20230107:1809,0.000
20230107:1909,0.000
20230107:2009,0.000
20230107:2109,0.000
20230107:2209,0.000
20230107:2309,0.000
20230108:0009,0.000
20230108:0109,0.000
20230108:0209,0.000
20230108:0309,0.000
20230108:0409,0.000
20230108:0509,0.000
20230108:0609,0.000
20230108:0709,0.000
20230108:0809,0.390
20230108:0909,159.190
20230108:1009,228.790
20230108:1109,386.230
20230108:1209,434.620
20230108:1309,450.440
20230108:1409,434.540
20230108:1509,380.380
20230108:1609,294.400
20230108:1709,101.900
20230108:1809,0.000
