timestamp,P_kW
20231001:0009,0.000000
20231001:0109,0.000000
20231001:0209,0.000000
20231001:0309,0.000000
20231001:0409,0.000000
20231001:0509,0.000000
20231001:0609,0.000000
20231001:0709,0.002080
20231001:0809,0.081350
20231001:0909,0.248320
20231001:1009,0.353020
20231001:1109,0.433720
20231001:1209,0.459550
20231001:1309,0.467630
20231001:1409,0.435650
20231001:1509,0.349080
20231001:1609,0.279610
20231001:1709,0.150170
20231001:1809,0.029500
20231001:1909,0.000000
20231001:2009,0.000000
20231001:2109,0.000000
20231001:2209,0.000000
20231001:2309,0.000000
20231002:0009,0.000000
20231002:0109,0.000000
20231002:0209,0.000000
20231002:0309,0.000000
20231002:0409,0.000000
20231002:0509,0.000000
20231002:0609,0.000000
20231002:0709,0.001900
20231002:0809,0.109250
20231002:0909,0.250370
20231002:1009,0.353960
20231002:1109,0.431050
20231002:1209,0.469150
20231002:1309,0.478870
20231002:1409,0.449300
20231002:1509,0.387460
20231002:1609,0.293750
20231002:1709,0.163760
20231002:1809,0.031550
20231002:1909,0.000000
20231002:2009,0.000000
20231002:2109,0.000000
20231002:2209,0.000000
20231002:2309,0.000000
