HourStart,L1_kWh,L2_kWh,L3_kWh,Total_kWh,Import_kWh,Export_kWh,Net_kWh
2025-10-31 00:00,,,,0.000000,0.000000,0.000000,0.000000
2025-10-31 01:00,0.256001,0.318001,0.138000,0.712002,0.380997,0.338001,0.042995
2025-10-31 02:00,0.250000,0.013000,0.093000,0.356001,0.337006,0.019001,0.318005
2025-10-31 03:00,0.250000,0.655998,0.136999,1.042997,0.380997,0.661999,0.000000
2025-10-31 04:00,0.257000,0.181000,0.107000,0.545000,0.350998,0.194000,0.156998
2025-10-31 05:00,0.237000,0.257000,0.112000,0.605999,0.343002,0.263000,0.080002
2025-10-31 06:00,0.269001,0.200001,0.125000,0.594002,0.393997,0.200001,0.193996
2025-10-31 07:00,0.706001,0.818001,0.088001,1.612003,0.788002,0.823997,0.000000
2025-10-31 08:00,0.362999,0.013000,0.157000,0.532999,0.513000,0.020000,0.493000
2025-10-31 09:00,1.142998,0.661999,0.399000,2.203997,1.536003,0.668003,0.868000
2025-10-31 10:00,0.925003,0.019001,0.219000,1.163004,1.143997,0.018997,1.125000
2025-10-31 11:00,0.500000,0.018997,0.112000,0.630997,0.599998,0.031002,0.568996
2025-10-31 12:00,0.231995,0.012001,0.131001,0.374996,0.362999,0.011997,0.351002
2025-10-31 13:00,0.275002,0.025002,0.070000,0.370003,0.331001,0.032001,0.299000
2025-10-31 14:00,0.287003,0.049999,0.125000,0.462002,0.418999,0.049999,0.368999
2025-10-31 15:00,0.755997,0.694000,0.093000,1.542997,0.837006,0.706001,0.131004
2025-10-31 16:00,0.800003,0.131001,0.118999,1.050003,0.912994,0.137001,0.775993
2025-10-31 17:00,0.194000,0.019001,0.100000,0.313002,0.287003,0.025997,0.261005
2025-10-31 18:00,0.163002,0.018997,0.138000,0.320000,0.294998,0.025002,0.269997
2025-10-31 19:00,0.149994,0.019001,0.080999,0.249994,0.224998,0.025002,0.199997
2025-10-31 20:00,0.187004,0.905998,0.163000,1.256002,0.337006,0.918999,0.000000
2025-10-31 21:00,0.212997,0.025002,0.087000,0.324999,0.293999,0.030998,0.263000
2025-10-31 22:00,0.518005,0.681000,0.125000,1.324005,0.637001,0.687000,0.000000
2025-10-31 23:00,0.206993,0.049999,0.099001,0.355993,0.299995,0.056000,0.243996
