timestamp_UTC,P_kW
20231030:0009,0.000000
20231030:0109,0.000000
20231030:0209,0.000000
20231030:0309,0.000000
20231030:0409,0.000000
20231030:0509,0.000000
20231030:0609,0.000000
20231030:0709,0.000000
20231030:0809,0.166140
20231030:0909,0.475390
20231030:1009,0.679690
20231030:1109,0.811630
20231030:1209,0.903460
20231030:1309,0.928040
20231030:1409,0.810300
20231030:1509,0.712600
20231030:1609,0.438380
20231030:1709,0.089450
20231030:1809,0.000000
20231030:1909,0.000000
20231030:2009,0.000000
20231030:2109,0.000000
20231030:2209,0.000000
20231030:2309,0.000000
20231031:0009,0.000000
20231031:0109,0.000000
20231031:0209,0.000000
20231031:0309,0.000000
20231031:0409,0.000000
20231031:0509,0.000000
20231031:0609,0.000000
20231031:0709,0.000000
20231031:0809,0.194650
20231031:0909,0.491570
20231031:1009,0.671390
20231031:1109,0.804620
20231031:1209,0.876660
20231031:1309,0.792610
20231031:1409,0.622840
20231031:1509,0.468040
20231031:1609,0.478850
20231031:1709,0.209900
20231031:1809,0.000000
20231031:1909,0.000000
20231031:2009,0.000000
20231031:2109,0.000000
20231031:2209,0.000000
20231031:2309,0.000000
